Event,Obs,Q,Type,Loc/Freq,Particulars_a,begin_datetime,max_datetime,end_datetime
5100,SVI,3,FLA,N06E17,SF,2015-01-06 13:25:00,2015-01-06 13:28:00,2015-01-06 13:40:00
5110,SVI,C,RSP,025-180,III/2,2015-01-06 14:14:00,,2015-01-06 14:20:00
5120,SAG,C,RSP,043-180,III/1,2015-01-06 16:38:00,,2015-01-06 16:39:00
5130,G15,5,XRA,1-8A,C1.7,2015-01-06 17:10:00,2015-01-06 17:14:00,2015-01-06 17:18:00
5130,HOL,3,FLA,S09W21,SF,2015-01-06 17:12:00,2015-01-06 17:13:00,2015-01-06 17:21:00
5160,CUL,C,RSP,023-130,III/1,2015-01-06 20:16:00,,2015-01-06 20:18:00
5170,CUL,C,RSP,020-060,III/1,2015-01-06 20:25:00,,2015-01-06 20:25:00
5180,CUL,C,RSP,018-060,III/1,2015-01-06 20:48:00,,2015-01-06 20:50:00
5190,G15,5,XRA,1-8A,C1.9,2015-01-06 21:58:00,2015-01-06 22:04:00,2015-01-06 22:11:00
5200,PAL,G,RBR,245,100,2015-01-06 22:56:00,2015-01-06 22:56:00,2015-01-06 22:56:00
5210,PAL,G,RBR,245,150,2015-01-06 23:34:00,2015-01-06 23:34:00,2015-01-06 23:34:00
5220,G15,5,XRA,1-8A,C1.2,2015-01-07 03:06:00,2015-01-07 03:12:00,2015-01-07 03:30:00
5230,LEA,3,FLA,S08W30,SF,2015-01-07 03:31:00,2015-01-07 03:31:00,2015-01-07 03:32:00
5240,LEA,C,RSP,056-073,III/1,2015-01-07 03:42:00,,2015-01-07 03:42:00
5250,LEA,C,RSP,076-098,III/1,2015-01-07 04:08:00,,2015-01-07 04:09:00
5260,LEA,C,RSP,038-050,III/1,2015-01-07 04:43:00,,2015-01-07 04:43:00
5270,LEA,G,RBR,245,270,2015-01-07 05:09:00,2015-01-07 05:09:00,2015-01-07 05:09:00
5280,G15,5,XRA,1-8A,C1.8,2015-01-07 05:59:00,2015-01-07 06:06:00,2015-01-07 06:12:00
5290,SVI,C,RSP,025-079,III/1,2015-01-07 08:25:00,,2015-01-07 08:26:00
5300,G15,5,XRA,1-8A,C1.2,2015-01-07 09:58:00,2015-01-07 10:06:00,2015-01-07 10:16:00
5310,G15,5,XRA,1-8A,C1.3,2015-01-07 10:30:00,2015-01-07 10:36:00,2015-01-07 10:40:00
5320,SVI,C,RSP,038-150,III/1,2015-01-07 11:04:00,,2015-01-07 11:05:00
5330,G15,5,XRA,1-8A,C4.3,2015-01-07 11:43:00,2015-01-07 11:51:00,2015-01-07 12:01:00
5330,SVI,3,FLA,S09W35,1N,2015-01-07 11:44:00,2015-01-07 11:47:00,2015-01-07 12:12:00
5340,SVI,3,FLA,S09W36,SF,2015-01-07 12:32:00,2015-01-07 12:33:00,2015-01-07 12:36:00
5350,G15,5,XRA,1-8A,C2.1,2015-01-07 14:55:00,2015-01-07 15:00:00,2015-01-07 15:07:00
5350,SVI,3,FLA,S16E78,SF,2015-01-07 14:59:00,2015-01-07 14:59:00,2015-01-07 15:02:00
